College Code,College Name,Seat Category,City,branch,closing_rank
E005,"Akash Institute of Engineering and Technology-Devanahalli, Bengaluru Rural",GM,Bengaluru Rural,AD-Artificial Intelligence & Data Science,110202
E009,"Angadi Institute of Technology and Management-Savagaon Road, Belagavi",GM,Belagavi,AD-Artificial Intelligence & Data Science,76135
E013,"Akshaya Institute of Technology-Koratagere Road, Tumakuru",GM,Tumakuru,AD-Artificial Intelligence & Data Science,104749
E027,"BMS College of Engineering-Basavanagudi, Bengaluru",GM,Bengaluru,AD-Artificial Intelligence & Data Science,2681
E027,"BMS College of Engineering-Basavanagudi, Bengaluru",KKR,Bengaluru,AD-Artificial Intelligence & Data Science,13327
E032,"C.M.R. Institute of Technology-Brookefield, Bengaluru",GM,Bengaluru,AD-Artificial Intelligence & Data Science,18125
E032,"C.M.R. Institute of Technology-Brookefield, Bengaluru",KKR,Bengaluru,AD-Artificial Intelligence & Data Science,65008
E035,"Channabasaveshwara Institute of Technology- Gubbi, Tumakuru",GM,Tumakuru,AD-Artificial Intelligence & Data Science,106098
E038,"Coorg Institute of Technology-Ponnampet, South Kodagu",GM,South Kodagu,AD-Artificial Intelligence & Data Science,87138
E041,"DON BOSCO Institute of Technology-Kumbalgodu, Bengaluru",GM,Bengaluru,AD-Artificial Intelligence & Data Science,78529
E045,"Dr H N National College Of Engineering-Jayanagar, Bengaluru",GM,Bengaluru,AD-Artificial Intelligence & Data Science,107862
E048,"East West Institute of Technology-BEL Layout, Bengaluru",GM,Bengaluru,AD-Artificial Intelligence & Data Science,95595
E050,"Global Academy of Technology-Rajarajeshwari Nagar, Bengaluru",GM,Bengaluru,AD-Artificial Intelligence & Data Science,56104
E050,"Global Academy of Technology-Rajarajeshwari Nagar, Bengaluru",KKR,Bengaluru,AD-Artificial Intelligence & Data Science,93584
E055,"GSSS Institute of Engineering and Technology for Women-Metagalli, Mysuru",GM,Mysuru,AD-Artificial Intelligence & Data Science,48269
E055,"GSSS Institute of Engineering and Technology for Women-Metagalli, Mysuru",KKR,Mysuru,AD-Artificial Intelligence & Data Science,97455
E066,"KLE College of Engineering and Technology-Chikodi Dist., Belagavi",GM,Belagavi,AD-Artificial Intelligence & Data Science,97107
E067,"K.S School of Engineering And Management-Off Kanakapura Road, Bengaluru",GM,Bengaluru,AD-Artificial Intelligence & Data Science,101440
E075,"KNS Institute of Technology-Yelahanka, Bengaluru",GM,Bengaluru,AD-Artificial Intelligence & Data Science,100144
E077,"M.S. Ramaiah Institute of Technology-MSR Nagar, Bengaluru",GM,Bengaluru,AD-Artificial Intelligence & Data Science,1828
